,file_number,text_content,img,emotion,label
0,5004,"PPSellsBabyParts for a large profit so their employees can live large Are you as outraged as us Lamborghini httptcoZDlQRjpWMw
",/content/drive/MyDrive/lab5_data/data2/5004.jpg,negative,0
1,5033,"RT PackMensBball WANTED passionate Pack fans Send picsvideos from games to show your Pack passion Link  httptcoNGIcXRXwBR ht
",/content/drive/MyDrive/lab5_data/data2/5033.jpg,positive,1
2,5018,"Panicky Streak Misty from Arkais   K  Order   EEE httptcovKNftNFgIN
",/content/drive/MyDrive/lab5_data/data2/5018.jpg,positive,1
3,5025,"RT journalnews Paralyzed Oxford police officer finds strength in community httptcoKHsvRfvZ OxfordOhioPD CMGEricR httptcoaG
",/content/drive/MyDrive/lab5_data/data2/5025.jpg,negative,0
4,4998,"FAV for Outcast httptcoSkxxhaXuu
",/content/drive/MyDrive/lab5_data/data2/4998.jpg,positive,1
5,5024,"RT TheeHusbands LOUIS IS SO TINY OMG httptcoqfTBglXy
",/content/drive/MyDrive/lab5_data/data2/5024.jpg,positive,1
6,5015,"RT SydMalatesta Tylersoldtweets I look so overjoyed httptcoOTAmHD
",/content/drive/MyDrive/lab5_data/data2/5015.jpg,positive,1
7,5010,"RT allkpop Woohyun is overjoyed to be part of the girl group competition  is working on his solo httptcoqDeGKxTNux httptcoJgRH
",/content/drive/MyDrive/lab5_data/data2/5010.jpg,positive,1
8,5030,"RT IovebaIIoons Dad designs shoes to give his paralyzed daughter the sensation of walking well played dad well played  httptcoGl
",/content/drive/MyDrive/lab5_data/data2/5030.jpg,positive,1
9,5019,"Anyone else enter a race  get a panicky feeling after Im blaming you JenningsNicola  sherieamore ukrunchat httptcoWBKixevxb
",/content/drive/MyDrive/lab5_data/data2/5019.jpg,negative,0
10,4997,"Tottenham boss Pochettino turned down opportunity to resign AVB outcast httptcoIEYmQvWIZ httptcoZAtYJ
",/content/drive/MyDrive/lab5_data/data2/4997.jpg,positive,1
11,5001,"South Africa ANC Outraged As DA Mob Disrupts Nkandla Inspection httptcoPdBageWs
",/content/drive/MyDrive/lab5_data/data2/5001.jpg,negative,0
12,5011,"Overjoyed maxfrost will return to Portland in October httptcoyltgMctIWa
",/content/drive/MyDrive/lab5_data/data2/5011.jpg,positive,1
13,5006,"RuPaulsDragRace Its coming Gag on this hennies httptcoEgvSEetA httptcoEdPrdNy I am overjoyed 
",/content/drive/MyDrive/lab5_data/data2/5006.jpg,positive,1
14,4999,"One of the most Epic Videogames Soundtracks Ever Produced  Blast From the Past httptcoOOGasxuw httptcoXPvFlGhIX
",/content/drive/MyDrive/lab5_data/data2/4999.jpg,positive,1
15,5036,"RT demilovatocebph Demi describes herself as loving passionate and shed like to think of herself as funny httptcoaVocupyV
",/content/drive/MyDrive/lab5_data/data2/5036.jpg,positive,1
16,5013,"RT LGBTAmnesty Overjoyed to hear Finland has joined the equal marriage club their parliament has just voted httptcovLpFZl http
",/content/drive/MyDrive/lab5_data/data2/5013.jpg,positive,1
17,5026,"RT mexevalua Compartimos Mexicos paralyzed president Opinin de ThisIsFusion httptcoUycJpzBS httptcoPRVMrGjew
",/content/drive/MyDrive/lab5_data/data2/5026.jpg,positive,1
18,5022,"super busy kid college boy with terrifyingly hectic schedule whos a whit panicky struggling to do his calculus paper httptcoSyppFL
",/content/drive/MyDrive/lab5_data/data2/5022.jpg,negative,0
19,5016,"RT LindseyCasella Faces overjoyed to be surrounded by a skyline filled with dreams  a night of meeting distinguished ad professionals h
",/content/drive/MyDrive/lab5_data/data2/5016.jpg,positive,1
20,5008,"RT marvelousmaIik he looks so good in red IM OVERJOYED httptcoNFSeoyndeR
",/content/drive/MyDrive/lab5_data/data2/5008.jpg,positive,1
21,5012,"Got mad bc Maddi blocked off my room with a bike but was then overjoyed at how much toilet paper she bought httptcoYouEEJsH
",/content/drive/MyDrive/lab5_data/data2/5012.jpg,positive,1
22,5035,"RT JudgeClayJ Valerie Jarrett gives passionate plea to RethinkDiscipline Spend less on incarceration and more on education httptco
",/content/drive/MyDrive/lab5_data/data2/5035.jpg,positive,1
23,5038,"RT BarbaraBkdv Fans r Passionate about completing TheBorgias w S We will NeverStop campaigning netflix freepeter NYCC httpt
",/content/drive/MyDrive/lab5_data/data2/5038.jpg,positive,1
24,5032,"RT exchangealumni Viktoriya  Viktoriia share more than a name They are passionate abt human rights  Ukraine httptcocUrTaEkBlj ht
",/content/drive/MyDrive/lab5_data/data2/5032.jpg,positive,1
25,5005,"GlobalCalgary Calgary Slide the City participants outraged by ticket changes  httptcolOUqwsax YYC httptcoRsIrryRWd
",/content/drive/MyDrive/lab5_data/data2/5005.jpg,negative,0
26,5063,"MP not at all rattled httptcoZEyvdHy
",/content/drive/MyDrive/lab5_data/data2/5063.jpg,positive,1
27,5058,"TMFF REVIEWOFTHEDAY httptcopdYEdwdY
",/content/drive/MyDrive/lab5_data/data2/5058.jpg,negative,0
28,5051,"there is a reason why im petrified from the ocean confession httptcongPJLIUQ
",/content/drive/MyDrive/lab5_data/data2/5051.jpg,positive,1
29,5071,"Reeling in the Years  Gay Mens Perspectives on Age and Ageism by Tim Bergling httptcomSXebqPa httptcoNMlsXwujl
",/content/drive/MyDrive/lab5_data/data2/5071.jpg,neutral,2
30,5081,"RT BashirAhmaad President MBuhari has rejected the gay marriage offer by the US stating that sodomy is against the law of Nigeria htt
",/content/drive/MyDrive/lab5_data/data2/5081.jpg,negative,0
31,5064,"RT nbcbayarea QUAKE MAP Heres a snapshot of the numerous quakes that rattled the Fremont area today httptcoTgyGeldVPR httptco
",/content/drive/MyDrive/lab5_data/data2/5064.jpg,negative,0
32,5060,"RT omomani Cartoon Balotelli provoked the ire of Liverpool fans everywhere by praising MCFC newboy Sterling on Twitter httptco
",/content/drive/MyDrive/lab5_data/data2/5060.jpg,positive,1
33,5059,"RT taylorswift When UzoAduba walked out it provoked one of the loudest screams from the crowd Ive EVER heard I just love herrrrr ht
",/content/drive/MyDrive/lab5_data/data2/5059.jpg,positive,1
34,5083,"RT EconBizFin Mitsubishi has apologised to former American POWs on the eve of the WWII anniversary Why now httptcoNfvLPlqv http
",/content/drive/MyDrive/lab5_data/data2/5083.jpg,negative,0
35,5053,"RT TonyReinke Why secularists are powerless to stop PlannedParenthood by Francis Schaeffer and C Everett Koop httptcoTGloOEU
",/content/drive/MyDrive/lab5_data/data2/5053.jpg,negative,0
36,5044,"qualityjewelry httptco
",/content/drive/MyDrive/lab5_data/data2/5044.jpg,positive,1
37,5045,"Its summer  Time to put your feet up like Copper our formerly petrified catoftheday httptcoifRtNVK  httptcoQPfzNJlxu
",/content/drive/MyDrive/lab5_data/data2/5045.jpg,positive,1
38,5067,"RT cyprusmail Expats left reeling as Barclays close accounts in Cyprus under  httptcomEVluPXpu httptcopnsMFYf
",/content/drive/MyDrive/lab5_data/data2/5067.jpg,negative,0
39,5076,"La Liga News  July  Elche Appeal Rejected Real Madrid Interested in Ricardo Rodriguez httptcoILxkVrSt httptcoTBHYllJnzR
",/content/drive/MyDrive/lab5_data/data2/5076.jpg,negative,0
40,5041,"Petrified to cut my hair but it needs to be done httptcoNMyrtRvvq
",/content/drive/MyDrive/lab5_data/data2/5041.jpg,positive,1
41,5077,"RT maturefinancier Cameron bid to donate corneas in event of death has been rejected for being to short sighted httptcogVTGtbiBfK
",/content/drive/MyDrive/lab5_data/data2/5077.jpg,negative,0
42,5065,"Reeling him in better be a joy httptcoJajsoIDs  fishing travel httptcoxWSvgG
",/content/drive/MyDrive/lab5_data/data2/5065.jpg,positive,1
43,5050,"Painting for the Petrified httptcoBmZtpWRt painting httptcodJKtSsyz
",/content/drive/MyDrive/lab5_data/data2/5050.jpg,positive,1
44,5074,"VMW nice pop Back above day but rejected so far at  level big resistance there coinciding with the day httptcofLmzRpV
",/content/drive/MyDrive/lab5_data/data2/5074.jpg,negative,0
45,5069,"Reeling him in better be a joy httptcojaSTpEBXZo  fishing travel httptcodrCYnUHa
",/content/drive/MyDrive/lab5_data/data2/5069.jpg,positive,1
46,5082,"RT FutbolSergi Higuain rejected giving someone an autograph in the street got told he cant take penalties then there was a quarrel http
",/content/drive/MyDrive/lab5_data/data2/5082.jpg,negative,0
47,5048,"RT BetteDavis Bette on set of THE PETRIFIED FOREST  BetteDavis behindthescenes httptcocztKYME
",/content/drive/MyDrive/lab5_data/data2/5048.jpg,positive,1
48,5057,"The Power of PowerLESS Communication httptcoSmsEVqPokO Inc leadership management thwcxo httptcoBItxUQBtY
",/content/drive/MyDrive/lab5_data/data2/5057.jpg,positive,1
49,5080,"Tower Hamlets rejected British Lands proposals last night for the Liberty of Norton Folgate  httptcoaPlBpHiGw httptcoucsdPW
",/content/drive/MyDrive/lab5_data/data2/5080.jpg,positive,1
50,5047,"Is it just me or does the one chap on this happiestselfie look petrified httptcoglPLzcsL
",/content/drive/MyDrive/lab5_data/data2/5047.jpg,positive,1
51,5073,"RT FFArsenal Arsenal have first bid rejected for Karim Benzema httptcoAhcufnmLU httptcojhoWmhauN
",/content/drive/MyDrive/lab5_data/data2/5073.jpg,negative,0
52,5070,"RT WSJGraphics Gawker reeling amid identity crisis httptcoMJYvVGK httptconmVgNQOn
",/content/drive/MyDrive/lab5_data/data2/5070.jpg,negative,0
53,5072,"Joy Carpets Any Day Matinee Reeling Theater Area Rugs Inch by Inch by  httptcoXytrFXUh httptcoZzljwwBCS
",/content/drive/MyDrive/lab5_data/data2/5072.jpg,negative,0
54,5075," percent of black applicants who earn at least K a year had their mortgage loan app rejected in  httptcoVjPkBsiW
",/content/drive/MyDrive/lab5_data/data2/5075.jpg,negative,0
