,file_number,img_path,emotion,labels
0,77,/content/drive/MyDrive/lab5_data/data2/77.jpg,positive,1.0
1,3544,/content/drive/MyDrive/lab5_data/data2/3544.jpg,negative,0.0
2,4203,/content/drive/MyDrive/lab5_data/data2/4203.jpg,negative,0.0
3,2882,/content/drive/MyDrive/lab5_data/data2/2882.jpg,,
4,837,/content/drive/MyDrive/lab5_data/data2/837.jpg,negative,0.0
5,4565,/content/drive/MyDrive/lab5_data/data2/4565.jpg,positive,1.0
6,2672,/content/drive/MyDrive/lab5_data/data2/2672.jpg,negative,0.0
7,2114,/content/drive/MyDrive/lab5_data/data2/2114.jpg,,
8,189,/content/drive/MyDrive/lab5_data/data2/189.jpg,negative,0.0
9,1409,/content/drive/MyDrive/lab5_data/data2/1409.jpg,,
10,4571,/content/drive/MyDrive/lab5_data/data2/4571.jpg,negative,0.0
11,2100,/content/drive/MyDrive/lab5_data/data2/2100.jpg,negative,0.0
12,5109,/content/drive/MyDrive/lab5_data/data2/5109.jpg,positive,1.0
13,2666,/content/drive/MyDrive/lab5_data/data2/2666.jpg,negative,0.0
14,3578,/content/drive/MyDrive/lab5_data/data2/3578.jpg,,
15,4217,/content/drive/MyDrive/lab5_data/data2/4217.jpg,positive,1.0
16,823,/content/drive/MyDrive/lab5_data/data2/823.jpg,positive,1.0
17,63,/content/drive/MyDrive/lab5_data/data2/63.jpg,positive,1.0
18,2699,/content/drive/MyDrive/lab5_data/data2/2699.jpg,negative,0.0
19,604,/content/drive/MyDrive/lab5_data/data2/604.jpg,positive,1.0
20,2869,/content/drive/MyDrive/lab5_data/data2/2869.jpg,neutral,2.0
21,638,/content/drive/MyDrive/lab5_data/data2/638.jpg,positive,1.0
22,1421,/content/drive/MyDrive/lab5_data/data2/1421.jpg,positive,1.0
23,5121,/content/drive/MyDrive/lab5_data/data2/5121.jpg,positive,1.0
24,2896,/content/drive/MyDrive/lab5_data/data2/2896.jpg,negative,0.0
25,3550,/content/drive/MyDrive/lab5_data/data2/3550.jpg,negative,0.0
26,1347,/content/drive/MyDrive/lab5_data/data2/1347.jpg,negative,0.0
27,4559,/content/drive/MyDrive/lab5_data/data2/4559.jpg,positive,1.0
28,3222,/content/drive/MyDrive/lab5_data/data2/3222.jpg,,
29,2128,/content/drive/MyDrive/lab5_data/data2/2128.jpg,negative,0.0
30,3236,/content/drive/MyDrive/lab5_data/data2/3236.jpg,positive,1.0
31,1435,/content/drive/MyDrive/lab5_data/data2/1435.jpg,,
32,1353,/content/drive/MyDrive/lab5_data/data2/1353.jpg,positive,1.0
33,3008,/content/drive/MyDrive/lab5_data/data2/3008.jpg,,
34,4767,/content/drive/MyDrive/lab5_data/data2/4767.jpg,positive,1.0
35,1179,/content/drive/MyDrive/lab5_data/data2/1179.jpg,neutral,2.0
36,4001,/content/drive/MyDrive/lab5_data/data2/4001.jpg,negative,0.0
