,file_number,text_content,txt_without_http,txt_after_translate,img,emotion
0,8,"Energetic training today with our San Antonio New DollarsNew Partners trainees 
","energetic training today with our san antonio new dollarsnew partners trainees 
",energetic training today with our san antonio new dollarsnew partners trainees,/content/drive/MyDrive/lab5_data/data2/8.jpg,null
1,1576,"Let your voice be heard 18 endsuicide blithe selfharm thinspo bonespo edo hurt cut 
","let your voice be heard 18 endsuicide blithe selfharm thinspo bonespo edo hurt cut 
",let your voice be heard 18 endsuicide blithe selfharm thinspo bonespo edo hurt cut,/content/drive/MyDrive/lab5_data/data2/1576.jpg,null
2,2320,"RT AustinPowers Shark Week would be so much better if the sharks had laser beams attached to their frickin heads 
","rt austinpowers shark week would be so much better if the sharks had laser beams attached to their frickin heads 
",rt austinpowers shark week would be so much better if the sharks had laser beams attached to their frickin heads,/content/drive/MyDrive/lab5_data/data2/2320.jpg,null
3,4912,"TheTruthCaster httptcoS8jvqpKq5h
","thetruthcaster 
",thetruthcaster,/content/drive/MyDrive/lab5_data/data2/4912.jpg,null
4,3821,"RT jarpad Hey WBSDCC look what were up to JensenAckles paulwesley iansomerhalder 
","rt jarpad hey wbsdcc look what were up to jensenackles paulwesley iansomerhalder 
",rt jarpad hey wbsdcc look what were up to jensenackles paulwesley iansomerhalder,/content/drive/MyDrive/lab5_data/data2/3821.jpg,null
5,1306,"CogTn How do we get fresh oil Separate the flesh from the SEEDcrushed bryancutshall 
","cogtn how do we get fresh oil separate the flesh from the seedcrushed bryancutshall 
",cogtn how do we get fresh oil separate the flesh from the seedcrushed bryancutshall,/content/drive/MyDrive/lab5_data/data2/1306.jpg,null
6,4555,"RT DailyMailCeleb Little Mixs Jesy has been showing off her engagement ring  httptcoawZnuVyjDc httptcoYPDUXrrhgA
","rt dailymailceleb little mixs jesy has been showing off her engagement ring   
",rt dailymail celeb little mix jesy has been showing off her engagement ring,/content/drive/MyDrive/lab5_data/data2/4555.jpg,null
7,259,"bexmader recently I got a wicked tshirt  you like it  
","bexmader recently i got a wicked tshirt  you like it  
",bexmader recently i got a wicked tshirt  you like it,/content/drive/MyDrive/lab5_data/data2/259.jpg,null
8,3216,"Absolute loml my beautiful  kind hearted baby boy 
","absolute loml my beautiful  kind hearted baby boy 
",absolute loml my beautiful  kind hearted baby boy,/content/drive/MyDrive/lab5_data/data2/3216.jpg,null
9,881,"Grim band logo of the day Sabbat 
","grim band logo of the day sabbat 
",grim band logo of the day sabbat,/content/drive/MyDrive/lab5_data/data2/881.jpg,null
10,1037,"New drawing illustration art epic 2DArtbot pen on paper awesome strong woman girl creativity happy 3 
","new drawing illustration art epic 2dartbot pen on paper awesome strong woman girl creativity happy 3 
",new drawing illustration art epic 2dartbot pen on paper awesome strong woman girl creativity happy 3,/content/drive/MyDrive/lab5_data/data2/1037.jpg,null
11,2463,"RT MrCocoyam So my homeboy just got his heart broken 
","rt mrcocoyam so my homeboy just got his heart broken 
",rt mrcocoyam so my homeboy just got his heart broken,/content/drive/MyDrive/lab5_data/data2/2463.jpg,null
12,3760,"Outdoor rehearsing is always fun hot pole podium  wobbly poles rockandbikefest are you ready to be Thunderstruck 
","outdoor rehearsing is always fun hot pole podium  wobbly poles rockandbikefest are you ready to be thunderstruck 
",outdoor rehearsing is always fun hot pole podium  wobbly poles rockandbikefest are you ready to be thunderstruck,/content/drive/MyDrive/lab5_data/data2/3760.jpg,null
13,3102,"New review up on my blog of An Imperfect Princess by Catherine Blakeney 
","new review up on my blog of an imperfect princess by catherine blakeney 
",new review up on my blog of an imperfect princess by catherine blakeney,/content/drive/MyDrive/lab5_data/data2/3102.jpg,null
14,4074,"This is a great quote Dragons can be beaten httptcoLFNcLzaIqs httptcoW7aPkoeqaj
","this is a great quote dragons can be beaten  
",this is a great quote dragons can be beaten,/content/drive/MyDrive/lab5_data/data2/4074.jpg,null
15,2155,"RT billoberstjr With the great SuzeLanier at EgyptianTheatre in Hollywood Her new film Cut is getting buzz htt 
","rt billoberstjr with the great suzelanier at egyptiantheatre in hollywood her new film cut is getting buzz htt 
",rt billoberstjr with the great suzelanier at egyptiantheatre in hollywood her new film cut is getting buzz htt,/content/drive/MyDrive/lab5_data/data2/2155.jpg,null
16,5009,"RT ALLCAPSMARVEL overjoyed  bastille httptcoSp6ci4Zdwh
","rt allcapsmarvel overjoyed  bastille 
",rt allcapsmarvel overjoyed  bastille,/content/drive/MyDrive/lab5_data/data2/5009.jpg,null
17,3292,"RT metrotoronto Shooting victim Lecent Ross remembered as vibrant loving and happy at Rexdale community vigil htt 
","rt metrotoronto shooting victim lecent ross remembered as vibrant loving and happy at rexdale community vigil htt 
",rt metrotoronto shooting victim lecent ross remembered as vibrant loving and happy at rexdale community vigil htt,/content/drive/MyDrive/lab5_data/data2/3292.jpg,null
18,3599,"EUC Banana Republic Ruffle V Neck Button Down Cardigan Gray Small Beautiful 70 
","euc banana republic ruffle v neck button down cardigan gray small beautiful 70 
",euc banana republic ruffle v neck button down cardigan gray small beautiful 70,/content/drive/MyDrive/lab5_data/data2/3599.jpg,null
