,file_number,img_path,emotion,labels
0,80,/content/drive/MyDrive/lab5_data/data/80.jpg,negative,0.0
1,618,/content/drive/MyDrive/lab5_data/data/618.jpg,neutral,2.0
2,2849,/content/drive/MyDrive/lab5_data/data/2849.jpg,,
3,2685,/content/drive/MyDrive/lab5_data/data/2685.jpg,negative,0.0
4,94,/content/drive/MyDrive/lab5_data/data/94.jpg,positive,1.0
5,2691,/content/drive/MyDrive/lab5_data/data/2691.jpg,negative,0.0
6,4586,/content/drive/MyDrive/lab5_data/data/4586.jpg,positive,1.0
7,1398,/content/drive/MyDrive/lab5_data/data/1398.jpg,positive,1.0
8,142,/content/drive/MyDrive/lab5_data/data/142.jpg,neutral,2.0
9,2861,/content/drive/MyDrive/lab5_data/data/2861.jpg,positive,1.0
10,624,/content/drive/MyDrive/lab5_data/data/624.jpg,positive,1.0
11,2875,/content/drive/MyDrive/lab5_data/data/2875.jpg,neutral,2.0
12,156,/content/drive/MyDrive/lab5_data/data/156.jpg,positive,1.0
13,630,/content/drive/MyDrive/lab5_data/data/630.jpg,positive,1.0
14,4753,/content/drive/MyDrive/lab5_data/data/4753.jpg,negative,0.0
15,2444,/content/drive/MyDrive/lab5_data/data/2444.jpg,positive,1.0
16,4035,/content/drive/MyDrive/lab5_data/data/4035.jpg,negative,0.0
17,3982,/content/drive/MyDrive/lab5_data/data/3982.jpg,positive,1.0
18,2322,/content/drive/MyDrive/lab5_data/data/2322.jpg,positive,1.0
19,4747,/content/drive/MyDrive/lab5_data/data/4747.jpg,positive,1.0
20,3028,/content/drive/MyDrive/lab5_data/data/3028.jpg,positive,1.0
21,2336,/content/drive/MyDrive/lab5_data/data/2336.jpg,positive,1.0
22,2450,/content/drive/MyDrive/lab5_data/data/2450.jpg,neutral,2.0
23,3996,/content/drive/MyDrive/lab5_data/data/3996.jpg,negative,0.0
24,4021,/content/drive/MyDrive/lab5_data/data/4021.jpg,positive,1.0
25,1159,/content/drive/MyDrive/lab5_data/data/1159.jpg,negative,0.0
26,2888,/content/drive/MyDrive/lab5_data/data/2888.jpg,,
27,1359,/content/drive/MyDrive/lab5_data/data/1359.jpg,negative,0.0
28,1429,/content/drive/MyDrive/lab5_data/data/1429.jpg,,
29,2120,/content/drive/MyDrive/lab5_data/data/2120.jpg,,
30,3558,/content/drive/MyDrive/lab5_data/data/3558.jpg,positive,1.0
31,2646,/content/drive/MyDrive/lab5_data/data/2646.jpg,,
32,4551,/content/drive/MyDrive/lab5_data/data/4551.jpg,negative,0.0
33,4237,/content/drive/MyDrive/lab5_data/data/4237.jpg,positive,1.0
34,5129,/content/drive/MyDrive/lab5_data/data/5129.jpg,positive,1.0
35,803,/content/drive/MyDrive/lab5_data/data/803.jpg,,
36,43,/content/drive/MyDrive/lab5_data/data/43.jpg,positive,1.0
37,817,/content/drive/MyDrive/lab5_data/data/817.jpg,positive,1.0
38,4223,/content/drive/MyDrive/lab5_data/data/4223.jpg,positive,1.0
39,2134,/content/drive/MyDrive/lab5_data/data/2134.jpg,positive,1.0
40,57,/content/drive/MyDrive/lab5_data/data/57.jpg,positive,1.0
41,4545,/content/drive/MyDrive/lab5_data/data/4545.jpg,,
42,5,/content/drive/MyDrive/lab5_data/data/5.jpg,,
43,3202,/content/drive/MyDrive/lab5_data/data/3202.jpg,neutral,2.0
44,1415,/content/drive/MyDrive/lab5_data/data/1415.jpg,positive,1.0
45,181,/content/drive/MyDrive/lab5_data/data/181.jpg,neutral,2.0
46,5115,/content/drive/MyDrive/lab5_data/data/5115.jpg,,
47,3564,/content/drive/MyDrive/lab5_data/data/3564.jpg,,
48,5101,/content/drive/MyDrive/lab5_data/data/5101.jpg,,
49,1367,/content/drive/MyDrive/lab5_data/data/1367.jpg,negative,0.0
50,3570,/content/drive/MyDrive/lab5_data/data/3570.jpg,,
51,1373,/content/drive/MyDrive/lab5_data/data/1373.jpg,negative,0.0
52,195,/content/drive/MyDrive/lab5_data/data/195.jpg,negative,0.0
53,1401,/content/drive/MyDrive/lab5_data/data/1401.jpg,,
54,4579,/content/drive/MyDrive/lab5_data/data/4579.jpg,positive,1.0
55,2108,/content/drive/MyDrive/lab5_data/data/2108.jpg,positive,1.0
56,4592,/content/drive/MyDrive/lab5_data/data/4592.jpg,negative,0.0
57,3216,/content/drive/MyDrive/lab5_data/data/3216.jpg,,
58,168,/content/drive/MyDrive/lab5_data/data/168.jpg,positive,1.0
59,4584,/content/drive/MyDrive/lab5_data/data/4584.jpg,negative,0.0
60,2693,/content/drive/MyDrive/lab5_data/data/2693.jpg,negative,0.0
61,96,/content/drive/MyDrive/lab5_data/data/96.jpg,,
62,3566,/content/drive/MyDrive/lab5_data/data/3566.jpg,,
63,5117,/content/drive/MyDrive/lab5_data/data/5117.jpg,negative,0.0
64,4209,/content/drive/MyDrive/lab5_data/data/4209.jpg,positive,1.0
65,2678,/content/drive/MyDrive/lab5_data/data/2678.jpg,,
66,1371,/content/drive/MyDrive/lab5_data/data/1371.jpg,positive,1.0
67,3214,/content/drive/MyDrive/lab5_data/data/3214.jpg,positive,1.0
68,3200,/content/drive/MyDrive/lab5_data/data/3200.jpg,positive,1.0
69,1417,/content/drive/MyDrive/lab5_data/data/1417.jpg,,
70,183,/content/drive/MyDrive/lab5_data/data/183.jpg,positive,1.0
71,1403,/content/drive/MyDrive/lab5_data/data/1403.jpg,negative,0.0
72,197,/content/drive/MyDrive/lab5_data/data/197.jpg,positive,1.0
73,69,/content/drive/MyDrive/lab5_data/data/69.jpg,negative,0.0
74,1365,/content/drive/MyDrive/lab5_data/data/1365.jpg,negative,0.0
75,5103,/content/drive/MyDrive/lab5_data/data/5103.jpg,positive,1.0
76,829,/content/drive/MyDrive/lab5_data/data/829.jpg,positive,1.0
77,3572,/content/drive/MyDrive/lab5_data/data/3572.jpg,,
78,4235,/content/drive/MyDrive/lab5_data/data/4235.jpg,positive,1.0
79,801,/content/drive/MyDrive/lab5_data/data/801.jpg,positive,1.0
80,41,/content/drive/MyDrive/lab5_data/data/41.jpg,negative,0.0
81,2644,/content/drive/MyDrive/lab5_data/data/2644.jpg,,
82,4553,/content/drive/MyDrive/lab5_data/data/4553.jpg,positive,1.0
83,2122,/content/drive/MyDrive/lab5_data/data/2122.jpg,,
84,4547,/content/drive/MyDrive/lab5_data/data/4547.jpg,positive,1.0
85,3228,/content/drive/MyDrive/lab5_data/data/3228.jpg,,
86,7,/content/drive/MyDrive/lab5_data/data/7.jpg,positive,1.0
87,4221,/content/drive/MyDrive/lab5_data/data/4221.jpg,positive,1.0
88,2650,/content/drive/MyDrive/lab5_data/data/2650.jpg,negative,0.0
89,2136,/content/drive/MyDrive/lab5_data/data/2136.jpg,positive,1.0
90,55,/content/drive/MyDrive/lab5_data/data/55.jpg,,
91,815,/content/drive/MyDrive/lab5_data/data/815.jpg,positive,1.0
92,1601,/content/drive/MyDrive/lab5_data/data/1601.jpg,positive,1.0
93,395,/content/drive/MyDrive/lab5_data/data/395.jpg,positive,1.0
94,4751,/content/drive/MyDrive/lab5_data/data/4751.jpg,positive,1.0
95,3758,/content/drive/MyDrive/lab5_data/data/3758.jpg,positive,1.0
96,2320,/content/drive/MyDrive/lab5_data/data/2320.jpg,,
97,4989,/content/drive/MyDrive/lab5_data/data/4989.jpg,negative,0.0
98,1629,/content/drive/MyDrive/lab5_data/data/1629.jpg,positive,1.0
99,4779,/content/drive/MyDrive/lab5_data/data/4779.jpg,positive,1.0
100,3016,/content/drive/MyDrive/lab5_data/data/3016.jpg,,
101,2446,/content/drive/MyDrive/lab5_data/data/2446.jpg,positive,1.0
102,4037,/content/drive/MyDrive/lab5_data/data/4037.jpg,,
103,4023,/content/drive/MyDrive/lab5_data/data/4023.jpg,positive,1.0
104,3980,/content/drive/MyDrive/lab5_data/data/3980.jpg,negative,0.0
105,2452,/content/drive/MyDrive/lab5_data/data/2452.jpg,neutral,2.0
106,3994,/content/drive/MyDrive/lab5_data/data/3994.jpg,positive,1.0
107,2334,/content/drive/MyDrive/lab5_data/data/2334.jpg,negative,0.0
108,626,/content/drive/MyDrive/lab5_data/data/626.jpg,,
109,4745,/content/drive/MyDrive/lab5_data/data/4745.jpg,negative,0.0
110,2863,/content/drive/MyDrive/lab5_data/data/2863.jpg,,
111,140,/content/drive/MyDrive/lab5_data/data/140.jpg,neutral,2.0
112,154,/content/drive/MyDrive/lab5_data/data/154.jpg,positive,1.0
113,2877,/content/drive/MyDrive/lab5_data/data/2877.jpg,positive,1.0
114,632,/content/drive/MyDrive/lab5_data/data/632.jpg,negative,0.0
115,4590,/content/drive/MyDrive/lab5_data/data/4590.jpg,positive,1.0
116,3599,/content/drive/MyDrive/lab5_data/data/3599.jpg,,
117,2687,/content/drive/MyDrive/lab5_data/data/2687.jpg,neutral,2.0
118,82,/content/drive/MyDrive/lab5_data/data/82.jpg,positive,1.0
119,4143,/content/drive/MyDrive/lab5_data/data/4143.jpg,neutral,2.0
120,2532,/content/drive/MyDrive/lab5_data/data/2532.jpg,positive,1.0
121,3638,/content/drive/MyDrive/lab5_data/data/3638.jpg,,
122,4157,/content/drive/MyDrive/lab5_data/data/4157.jpg,negative,0.0
123,2526,/content/drive/MyDrive/lab5_data/data/2526.jpg,negative,0.0
124,4631,/content/drive/MyDrive/lab5_data/data/4631.jpg,positive,1.0
125,1749,/content/drive/MyDrive/lab5_data/data/1749.jpg,positive,1.0
126,342,/content/drive/MyDrive/lab5_data/data/342.jpg,positive,1.0
127,4976,/content/drive/MyDrive/lab5_data/data/4976.jpg,positive,1.0
128,1991,/content/drive/MyDrive/lab5_data/data/1991.jpg,positive,1.0
129,424,/content/drive/MyDrive/lab5_data/data/424.jpg,,
130,356,/content/drive/MyDrive/lab5_data/data/356.jpg,neutral,2.0
131,4792,/content/drive/MyDrive/lab5_data/data/4792.jpg,positive,1.0
132,430,/content/drive/MyDrive/lab5_data/data/430.jpg,negative,0.0
133,4962,/content/drive/MyDrive/lab5_data/data/4962.jpg,positive,1.0
134,1832,/content/drive/MyDrive/lab5_data/data/1832.jpg,negative,0.0
135,3943,/content/drive/MyDrive/lab5_data/data/3943.jpg,negative,0.0
136,2491,/content/drive/MyDrive/lab5_data/data/2491.jpg,positive,1.0
137,418,/content/drive/MyDrive/lab5_data/data/418.jpg,negative,0.0
138,3957,/content/drive/MyDrive/lab5_data/data/3957.jpg,positive,1.0
139,1198,/content/drive/MyDrive/lab5_data/data/1198.jpg,positive,1.0
140,4786,/content/drive/MyDrive/lab5_data/data/4786.jpg,positive,1.0
141,3002,/content/drive/MyDrive/lab5_data/data/3002.jpg,,
142,1826,/content/drive/MyDrive/lab5_data/data/1826.jpg,positive,1.0
143,381,/content/drive/MyDrive/lab5_data/data/381.jpg,positive,1.0
144,1615,/content/drive/MyDrive/lab5_data/data/1615.jpg,positive,1.0
145,1173,/content/drive/MyDrive/lab5_data/data/1173.jpg,,
146,3764,/content/drive/MyDrive/lab5_data/data/3764.jpg,positive,1.0
147,1167,/content/drive/MyDrive/lab5_data/data/1167.jpg,positive,1.0
148,3770,/content/drive/MyDrive/lab5_data/data/3770.jpg,negative,0.0
149,4802,/content/drive/MyDrive/lab5_data/data/4802.jpg,negative,0.0
150,550,/content/drive/MyDrive/lab5_data/data/550.jpg,negative,0.0
151,222,/content/drive/MyDrive/lab5_data/data/222.jpg,positive,1.0
152,4816,/content/drive/MyDrive/lab5_data/data/4816.jpg,negative,0.0
153,544,/content/drive/MyDrive/lab5_data/data/544.jpg,positive,1.0
154,4180,/content/drive/MyDrive/lab5_data/data/4180.jpg,negative,0.0
155,1946,/content/drive/MyDrive/lab5_data/data/1946.jpg,negative,0.0
156,4194,/content/drive/MyDrive/lab5_data/data/4194.jpg,negative,0.0
157,3823,/content/drive/MyDrive/lab5_data/data/3823.jpg,,
